06-12-23 14:21:07 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:21:20 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:21:33 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:21:46 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:21:59 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:22:13 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:22:26 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:22:39 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:22:52 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 14:23:06 - Voltage 1.2 - INFO   Current = 0.3994
